transaction_id,timestamp,user_id,amount,currency,merchant,country,card_present
D-001,2025-05-02T09:15:00Z,U1,48.00,EUR,Boulangerie,FR,true
D-002,2025-05-09T12:40:00Z,U1,52.50,EUR,Supermarche,FR,true
D-003,2025-05-15T19:05:00Z,U1,47.20,EUR,Restaurant,FR,true
D-004,2025-05-20T10:00:00Z,U1,55.00,EUR,Pharmacie,FR,true
D-005,2025-06-01T13:00:00Z,U1,120.00,EUR,ElectroShop,FR,true
D-006,2025-06-01T13:00:00Z,U1,120.00,EUR,ElectroShop,FR,true
D-010,2025-06-01T10:00:00Z,U2,60.00,EUR,Cafe,FR,true
D-011,2025-06-01T11:00:00Z,U2,300.00,USD,DutyFree,US,false
D-020,2025-06-02T08:00:00Z,U3,2.00,EUR,Shop1,FR,false
D-021,2025-06-02T08:00:30Z,U3,3.00,EUR,Shop2,FR,false
D-022,2025-06-02T08:01:00Z,U3,1.50,EUR,Shop3,FR,false
D-023,2025-06-02T08:01:30Z,U3,2.50,EUR,Shop4,FR,false
D-024,2025-06-02T08:02:00Z,U3,4.00,EUR,Shop5,FR,false
D-025,2025-06-02T08:02:30Z,U3,2.00,EUR,Shop6,FR,false
D-030,2025-05-03T10:00:00Z,U4,40.00,EUR,Cafe,FR,true
D-031,2025-05-10T10:00:00Z,U4,45.00,EUR,Cafe,FR,true
D-032,2025-05-17T10:00:00Z,U4,38.00,EUR,Cafe,FR,true
D-033,2025-06-01T03:00:00Z,U4,3500.00,EUR,Bijouterie,FR,false
D-040,2025-06-02T14:00:00Z,U5,-30.00,EUR,Remboursement,FR,true
D-041,2025-06-02T15:00:00Z,U5,40.00,EUR,Kiosque,,true
D-050,2025-05-02T10:00:00Z,U6,1900.00,EUR,Grossiste,FR,true
D-051,2025-05-09T10:00:00Z,U6,2100.00,EUR,Grossiste,FR,true
D-052,2025-05-16T10:00:00Z,U6,1950.00,EUR,Grossiste,FR,true
D-053,2025-05-23T10:00:00Z,U6,2050.00,EUR,Grossiste,FR,true
D-054,2025-06-01T10:00:00Z,U6,2200.00,EUR,Grossiste,FR,true
